日期,开盘价,最高价,最低价,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理,date,amount_100m,market_amount_100m,amount_share_of_a
2026-06-08,1164.6890000000,1181.3470000000,1138.4500000000,1151.0100000000,3495249300,55877149000.0000000000,-0.0255950506,,同花顺概念指数历史,0.9721453483,2026-06-08,558.7714900000,27734.8512009900,0.0201469078
2026-06-09,1156.1940000000,1162.9680000000,1139.0460000000,1155.3150000000,2923199500,50059806000.0000000000,0.0037401934,,同花顺概念指数历史,0.8388710324,2026-06-09,500.5980600000,26202.4466079000,0.0191050121
2026-06-10,1150.3540000000,1158.3650000000,1136.3130000000,1155.2430000000,3013185400,49405069000.0000000000,-0.0000623207,,同花顺概念指数历史,0.8814569952,2026-06-10,494.0506900000,26031.0286006200,0.0189792996
2026-06-11,1147.5820000000,1153.1350000000,1128.9670000000,1139.9590000000,3034886200,52650605000.0000000000,-0.0132301170,,同花顺概念指数历史,0.9045735295,2026-06-11,526.5060500000,25369.8187171800,0.0207532445
2026-06-12,1145.6830000000,1163.8980000000,1135.3440000000,1162.3590000000,3890788200,71370486000.0000000000,0.0196498295,,同花顺概念指数历史,1.1565051716,2026-06-12,713.7048600000,31999.7728041700,0.0223034352
2026-06-15,1161.7310000000,1172.8960000000,1154.7670000000,1162.4280000000,3378127800,56976831000.0000000000,0.0000593620,,同花顺概念指数历史,1.0048919371,2026-06-15,569.7683100000,30178.3327043900,0.0188800460
2026-06-16,1161.2880000000,1161.2880000000,1142.7460000000,1152.4850000000,3009367100,52407917000.0000000000,-0.0085536481,,同花顺概念指数历史,0.8954958595,2026-06-16,524.0791700000,30486.6697359600,0.0171904368
2026-06-17,1150.3490000000,1150.5020000000,1136.4840000000,1141.5560000000,2867147200,49560980000.0000000000,-0.0094829868,,同花顺概念指数历史,0.8615362453,2026-06-17,495.6098000000,30761.5615481500,0.0161113342
2026-06-18,1139.8790000000,1165.5100000000,1129.0630000000,1151.7560000000,3498229000,69256650000.0000000000,0.0089351727,,同花顺概念指数历史,1.0588839333,2026-06-18,692.5665000000,32942.9461135000,0.0210232108
2026-06-22,1145.9700000000,1150.0990000000,1108.2300000000,1149.6290000000,4262972000,77468375000.0000000000,-0.0018467453,,同花顺概念指数历史,1.2709517477,2026-06-22,774.6837500000,37207.7227270700,0.0208205096
2026-06-23,1147.0240000000,1198.7510000000,1146.9510000000,1184.5650000000,5023542100,89792942000.0000000000,0.0303889342,,同花顺概念指数历史,1.4640345812,2026-06-23,897.9294200000,34250.3709091400,0.0262166335
2026-06-24,1185.5630000000,1203.5250000000,1175.3920000000,1177.7450000000,5176320500,98023294000.0000000000,-0.0057573877,,同花顺概念指数历史,1.4693865991,2026-06-24,980.2329400000,32594.3592723400,0.0300736987
2026-06-25,1168.2420000000,1171.3380000000,1135.1470000000,1163.1250000000,4809212200,90851463000.0000000000,-0.0124135530,,同花顺概念指数历史,1.3412596618,2026-06-25,908.5146300000,35790.3800172900,0.0253843248
2026-06-26,1158.0130000000,1161.7580000000,1119.6210000000,1119.6210000000,4083118900,78450969000.0000000000,-0.0374026867,,同花顺概念指数历史,1.1236242028,2026-06-26,784.5096900000,35237.8769230900,0.0222632508
2026-06-29,1118.6680000000,1189.0290000000,1101.6110000000,1187.6380000000,5958894900,123952304000.0000000000,0.0607500217,,同花顺概念指数历史,1.5978264876,2026-06-29,1239.5230400000,35034.5519360700,0.0353800169
2026-06-30,1182.6910000000,1190.3610000000,1161.6370000000,1172.0500000000,5080404900,102591440000.0000000000,-0.0131252116,,同花顺概念指数历史,1.3347537555,2026-06-30,1025.9144000000,32602.1731815300,0.0314676692
2026-07-01,1168.2970000000,1227.8550000000,1152.0530000000,1227.2860000000,6292654800,133333875000.0000000000,0.0471276823,,同花顺概念指数历史,1.5883758375,2026-07-01,1333.3387500000,36456.1701283500,0.0365737472
2026-07-02,1224.5910000000,1258.7950000000,1223.3100000000,1232.8580000000,5900894700,126492365000.0000000000,0.0045400990,,同花顺概念指数历史,1.4414051323,2026-07-02,1264.9236500000,34176.3435331300,0.0370116730
2026-07-03,1241.7820000000,1262.1960000000,1223.2250000000,1255.3240000000,5570361400,115788080000.0000000000,0.0182226988,,同花顺概念指数历史,1.3176332294,2026-07-03,1157.8808000000,31651.0172792800,0.0365827357
2026-07-06,1249.0120000000,1296.6820000000,1243.8080000000,1269.1850000000,6563636100,147811100000.0000000000,0.0110417709,,同花顺概念指数历史,1.4945855126,2026-07-06,1478.1110000000,30710.4507685800,0.0481305537
2026-07-07,1256.6820000000,1256.6820000000,1218.7780000000,1220.2820000000,4882702100,104713080000.0000000000,-0.0385310258,,同花顺概念指数历史,1.0945352002,2026-07-07,1047.1308000000,25647.7248213800,0.0408274343
2026-07-08,1220.0400000000,1238.9670000000,1206.0870000000,1206.3480000000,4609120900,88932018000.0000000000,-0.0114186721,,同花顺概念指数历史,1.0140459122,2026-07-08,889.3201800000,25485.5888821400,0.0348950218
2026-07-09,1197.0440000000,1232.6830000000,1187.2420000000,1204.8790000000,4938277900,92175665000.0000000000,-0.0012177249,,同花顺概念指数历史,1.0639325323,2026-07-09,921.7566500000,28955.0378801800,0.0318340682
2026-07-10,1198.6260000000,1258.5910000000,1188.5120000000,1241.3310000000,6223058900,119086886000.0000000000,0.0302536603,,同花顺概念指数历史,1.2962163351,2026-07-10,1190.8688600000,33641.3491069200,0.0353989626
